,ID,class,gender,race,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,from1,from2,from3,from4,y,Avg_Calc,Country
73,1214,A,female,1,84.11,79,48,85,92,85,88,X,A,A,0,2,66.5,USA
74,1215,A,female,1,87.26,80,78,87,92,95,92,E,A,A,0,1,82.5,USA
75,1216,A,female,1,91.9,95,86,96,92,95,90,Z,B,A,2,1,91.0,USA
76,1217,A,female,1,87.77,91,68,87,92,92,90,V,A,A,0,1,77.5,USA
77,1218,A,female,1,84.68,73,73,94,92,92,81,X,A,A,2,1,83.5,USA
78,1219,A,male,1,63.49,81,61,17,92,88,69,T,B,D,2,0,39.0,USA
79,1220,A,female,3,89.95,87,87,92,92,90,92,P,B,A,2,1,89.5,USA
80,1221,A,female,1,85.18,75,70,73,92,84,76,X,A,A,2,0,71.5,USA
81,1222,B,female,6,85.84,82,77,86,92,90,80,X,B,D,0,2,81.5,USA
82,1223,B,male,1,84.18,84,67,94,92,82,83,U,B,A,0,1,80.5,USA
83,1224,A,female,1,85.0,76,75,83,93,85,75,W,A,A,0,2,79.0,USA
84,1225,A,female,1,90.62,94,81,90,93,91,86,S,A,A,0,1,85.5,USA
85,1226,B,female,1,87.12,92,73,87,94,94,96,U,B,A,2,0,80.0,USA
86,1227,A,female,1,84.63,83,87,88,94,79,87,X,B,A,0,0,87.5,USA
87,1228,A,female,1,88.62,95,65,97,94,97,85,X,B,S,0,2,81.0,USA
88,1229,A,female,1,87.87,84,86,94,94,94,95,E,B,S,0,1,90.0,USA
89,1230,A,male,7,86.01,77,60,78,94,88,90,O,A,A,0,2,69.0,USA
90,1231,A,male,1,89.46,87,92,81,95,89,92,E,B,A,0,2,86.5,USA
91,1232,A,female,1,86.96,92,86,94,95,95,94,M,B,A,0,1,90.0,USA
92,1233,A,male,1,86.87,82,77,85,95,94,90,N,B,A,0,0,81.0,USA
93,1234,A,female,1,91.61,93,82,95,95,94,100,Y,B,S,0,1,88.5,USA
94,1235,A,female,1,88.54,89,86,96,96,96,87,AA,B,A,0,0,91.0,USA
95,1236,A,female,1,87.63,82,81,97,97,88,91,J,B,A,2,0,89.0,USA
96,1237,A,male,2,91.74,94,100,96,97,95,94,C,B,S,0,2,98.0,USA
97,1238,A,male,1,91.14,98,90,98,97,83,93,AA,B,A,0,1,94.0,USA
98,1239,A,male,1,90.31,84,82,99,97,89,96,P,B,A,0,2,90.5,USA
99,1240,B,male,1,88.1,87,70,95,97,91,93,AB,B,A,0,0,82.5,USA
100,1241,A,female,1,88.34,87,83,92,98,93,86,M,B,A,0,1,87.5,USA
101,1242,B,male,1,89.84,98,77,95,98,96,88,A,B,A,0,1,86.0,USA
102,1243,B,male,1,88.82,83,80,91,98,93,95,T,B,A,0,2,85.5,USA
103,1244,A,male,1,86.6,92,82,91,99,94,82,S,B,A,0,2,86.5,USA
104,1245,A,male,1,93.71,93,97,99,100,97,90,K,B,A,0,2,98.0,USA
